Date,Open,High,Low,Close,Volume,Adj Close,Future_categorical
19/10/2015,17209.4297,17679.3691,17129.1895,17646.6992,642710000,17646.6992,1
26/10/2015,17649.5703,17799.9609,17540.5703,17663.5391,585800000,17663.5391,1
2/11/2015,17672.6191,17977.8496,17655.0195,17910.3301,499380000,17910.3301,1
9/11/2015,17900.7793,17900.7793,17238.8906,17245.2402,573380000,17245.2402,0
16/11/2015,17229.9395,17914.3398,17210.4297,17823.8105,679360000,17823.8105,1
23/11/2015,17823.6094,17868.1797,17683.5098,17813.3906,426930000,17813.3906,0
30/11/2015,17802.8398,17901.5801,17425.5605,17847.6309,626940000,17847.6309,1
7/12/2015,17845.4902,17845.4902,17230.5,17265.2109,577230000,17265.2109,0
14/12/2015,17277.1094,17796.7598,17124.3105,17128.5508,850100000,17128.5508,0
21/12/2015,17154.9395,17607.9199,17116.7305,17552.1699,339650000,17552.1699,1
28/12/2015,17535.6602,17750.0195,17421.1602,17425.0293,283080000,17425.0293,0
4/1/2016,17405.4805,17405.4805,16314.5703,16346.4502,692150000,16346.4502,0
11/1/2016,16358.71,16593.5098,15842.1104,15988.0801,796840000,15988.0801,0
18/1/2016,16009.4502,16171.96,15450.5596,16093.5098,627220000,16093.5098,1
25/1/2016,16086.46,16466.3008,15863.7197,16466.3008,727870000,16466.3008,1
1/2/2016,16453.6309,16510.9805,15960.4502,16204.9697,653030000,16204.9697,0
8/2/2016,16147.5098,16201.8896,15503.0098,15973.8398,720530000,15973.8398,0
15/2/2016,16012.3896,16511.8398,16012.3896,16391.9902,505400000,16391.9902,1
22/2/2016,16417.1309,16795.9805,16165.8604,16639.9707,486630000,16639.9707,1
29/2/2016,16634.1504,17062.3809,16510.4004,17006.7695,533760000,17006.7695,1
7/3/2016,16991.2891,17220.0898,16821.8594,17213.3105,566350000,17213.3105,1
14/3/2016,17207.4902,17620.5801,17120.3496,17602.3008,747110000,17602.3008,1
21/3/2016,17589.6992,17648.9395,17399.0098,17515.7305,348200000,17515.7305,0
28/3/2016,17526.0801,17811.4805,17434.2695,17792.75,443440000,17792.75,1
4/4/2016,17799.3906,17806.3809,17484.2305,17576.9609,469980000,17576.9609,0
11/4/2016,17586.4805,17962.1406,17553.5703,17897.4609,482500000,17897.4609,1
18/4/2016,17890.1992,18167.6309,17848.2207,18003.75,516260000,18003.75,1
25/4/2016,17990.9395,18084.6602,17651.9805,17773.6406,523020000,17773.6406,0
2/5/2016,17783.7793,17912.3496,17580.3809,17740.6309,433730000,17740.6309,0
9/5/2016,17743.8496,17934.6094,17512.4805,17535.3203,423970000,17535.3203,0
16/5/2016,17531.7598,17755.8008,17331.0703,17500.9395,478340000,17500.9395,0
23/5/2016,17507.0391,17891.7109,17480.0508,17873.2207,395580000,17873.2207,1
30/5/2016,17891.5,17899.2402,17664.7891,17807.0605,383750000,17807.0605,0
6/6/2016,17825.6895,18016,17812.3398,17865.3398,382110000,17865.3398,1
13/6/2016,17830.5,17893.2793,17471.2891,17675.1602,630190000,17675.1602,0
